id,name,position,team,dv,fp
196,Alec Burks,G,NYK,2.89,133.5
197,Patty Mills,G,MIA,2.86,28.25
199,Jordan Hawkins,G,NOP,2.72,2.5
200,Max Christie,G,LAL,2.63,0
201,A.J. Green,G,MIL,2.59,31.75
203,Marcus Morris,F,CLE,2.5,103.75
204,Gary Harris,G,ORL,2.47,78
206,Joe Ingles,F,ORL,2.36,61.25
210,Anthony Black,G,ORL,1.89,15.5
212,Matt Ryan,F,NOP,1.74,3.75
215,Ben Sheppard,G,IND,1.7,211.75
218,Caleb Houstan,F,ORL,1.33,6
221,Doug McDermott,F,IND,1.22,36.25
